"old_name","current_name"
"Pseudomonas putida [ref_mOTU_v31_00181]","Pseudomonas putida"
"Pseudomonas sp. [ref_mOTU_v31_00182]","Pseudomonas sp."
"Pseudomonas taiwanensis [ref_mOTU_v31_00183]","Pseudomonas taiwanensis"
"Pseudomonas parafulva [ref_mOTU_v31_00184]","Pseudomonas parafulva"
"Pseudomonas capeferrum [ref_mOTU_v31_00185]","Pseudomonas capeferrum"
"Pseudomonas putida [ref_mOTU_v31_00186]","Pseudomonas putida"
"Pseudomonas sp. [ref_mOTU_v31_00187]","Pseudomonas sp."
"Pseudomonas putida [ref_mOTU_v31_00188]","Pseudomonas putida"
"Pseudomonas sp. Leaf58 [ref_mOTU_v31_00189]","Pseudomonas sp. Leaf58"
"Pseudomonas plecoglossicida [ref_mOTU_v31_00190]","Pseudomonas plecoglossicida"
"Pseudomonas putida [ref_mOTU_v31_00191]","Pseudomonas putida"
"Pseudomonas sp. NBRC 111131 [ref_mOTU_v31_00192]","Pseudomonas sp. NBRC 111131"
"Pseudomonas putida [ref_mOTU_v31_00193]","Pseudomonas putida"
"Pseudomonas monteilii [ref_mOTU_v31_00194]","Pseudomonas monteilii"
"Pseudomonas soli/mosselii [ref_mOTU_v31_00195]","Pseudomonas soli/mosselii"
"Pseudomonas putida/mosselii [ref_mOTU_v31_00196]","Pseudomonas putida/mosselii"
"Pseudomonas entomophila [ref_mOTU_v31_00197]","Pseudomonas entomophila"
"Pseudomonas putida [ref_mOTU_v31_00198]","Pseudomonas putida"
"Pseudomonas parafulva [ref_mOTU_v31_00199]","Pseudomonas parafulva"
"Pseudomonas monteilii [ref_mOTU_v31_00200]","Pseudomonas monteilii"
"Pseudomonas aeruginosa [ref_mOTU_v31_00201]","Pseudomonas aeruginosa"
"Pseudomonas nitroreducens [ref_mOTU_v31_00202]","Pseudomonas nitroreducens"
"Pseudomonas nitroreducens [ref_mOTU_v31_00203]","Pseudomonas nitroreducens"
"Pseudomonas sp. ATCC 13867 [ref_mOTU_v31_00204]","Pseudomonas sp. ATCC 13867"
"Pseudomonas jinjuensis [ref_mOTU_v31_00205]","Pseudomonas jinjuensis"
"Pseudomonas delhiensis/citronellolis [ref_mOTU_v31_00206]","Pseudomonas delhiensis/citronellolis"
"Pseudomonas knackmussii [ref_mOTU_v31_00207]","Pseudomonas knackmussii"
"Pseudomonas panipatensis [ref_mOTU_v31_00208]","Pseudomonas panipatensis"
"Balneatrix alpica [ref_mOTU_v31_00209]","Balneatrix alpica"
"Pseudomonas stutzeri [ref_mOTU_v31_00210]","Stutzerimonas stutzeri"
"Pseudomonas sp. Chol1 [ref_mOTU_v31_00211]","Pseudomonas sp. Chol1"
"Pseudomonas stutzeri [ref_mOTU_v31_00212]","Stutzerimonas stutzeri"
"Pseudomonas stutzeri [ref_mOTU_v31_00213]","Stutzerimonas stutzeri"
"Pseudomonas stutzeri [ref_mOTU_v31_00214]","Stutzerimonas stutzeri"
"Pseudomonas sp. [ref_mOTU_v31_00215]","Pseudomonas sp."
"Pseudomonas stutzeri [ref_mOTU_v31_00216]","Stutzerimonas stutzeri"
"Pseudomonas stutzeri [ref_mOTU_v31_00217]","Stutzerimonas stutzeri"
"Pseudomonas stutzeri [ref_mOTU_v31_00218]","Stutzerimonas stutzeri"
"Pseudomonas sp. BAY1663 [ref_mOTU_v31_00219]","Pseudomonas sp. BAY1663"
"Pseudomonas stutzeri [ref_mOTU_v31_00220]","Stutzerimonas stutzeri"
"Pseudomonas xanthomarina/stutzeri [ref_mOTU_v31_00221]","Pseudomonas xanthomarina/stutzeri"
"Pseudomonas stutzeri [ref_mOTU_v31_00222]","Stutzerimonas stutzeri"
"Pseudomonas azotifigens [ref_mOTU_v31_00223]","Stutzerimonas azotifigens"
"Pseudomonas indica [ref_mOTU_v31_00224]","Pseudomonas indica"
"Pseudomonas kuykendallii [ref_mOTU_v31_00225]","Pseudomonas kuykendallii"
