species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Anomala cuprea entomopoxvirus,NA,NA,NA,NA,NA,NA,1,NA
Anoxybacillus amylolyticus,1,2,NA,3,NA,2,NA,2
Anoxybacillus flavithermus,1,NA,NA,NA,2,3,1,3
Anoxybacillus gonensis,1,1,1,3,5,2,4,4
Anoxybacillus sp. B2M1,1,3,1,NA,2,2,2,4
Anoxybacillus sp. B7M1,1,1,1,3,2,1,1,4
Aquifex aeolicus,NA,1,NA,NA,3,1,1,1
Arabis mosaic virus,NA,NA,NA,NA,NA,NA,NA,1
Arachidicoccus sp. BS20,3,5,4,5,5,5,3,4
Arcanobacterium haemolyticum,2,1,2,3,3,2,2,4
Archaeoglobus fulgidus,1,NA,NA,NA,NA,2,NA,NA
Archaeoglobus profundus,NA,NA,NA,NA,1,1,NA,NA
Archaeoglobus sulfaticallidus,NA,NA,NA,NA,NA,1,1,NA
Archaeoglobus veneficus,NA,1,NA,1,1,NA,NA,NA
Archangium gephyra,13,17,13,7,7,6,4,5
Aliarcobacter butzleri,NA,1,1,NA,5,1,2,NA
Arcobacter nitrofigilis,1,2,1,1,3,3,3,NA
Arcobacter sp. L,NA,NA,NA,NA,2,4,1,1
Armadillidium vulgare iridescent virus,NA,1,NA,NA,NA,NA,NA,NA
Aromatoleum aromaticum,4,1,2,2,1,NA,5,3
Arsenicicoccus sp. oral taxon 190,3,NA,5,NA,NA,2,1,1
Arsenophonus symbiont of Lipoptena fortisetosa,NA,NA,NA,NA,1,NA,NA,NA
Arthrobacter,NA,1,1,1,NA,NA,NA,NA
Arthrobacter alpinus,6,3,7,6,7,3,4,4
Arthrobacter sp. A3,3,6,5,5,7,2,4,2
Arthrobacter sp. ATCC 21022,3,1,3,6,2,1,NA,NA
Arthrobacter sp. ERGS1:01,7,9,9,10,5,4,3,5
Arthrobacter sp. FB24,6,6,6,3,1,3,NA,2
Arthrobacter sp. IHBB 11108,2,6,4,4,6,2,NA,2
Arthrobacter sp. LS16,11,7,6,6,3,3,NA,1
Arthrobacter sp. PAMC 25486,5,7,3,9,7,3,2,1
Arthrobacter sp. Rue61a,2,2,4,3,NA,3,NA,1
Arthrobacter sp. U41,1,4,1,9,7,4,3,2
Arthrobacter sp. YC-RL1,5,6,9,6,4,NA,2,2
Arthrobacter sp. ZXY-2,3,2,3,2,3,1,2,2
Asaia bogorensis,2,6,1,1,3,NA,NA,2
Aster yellows witches'-broom phytoplasma,NA,NA,NA,NA,1,NA,NA,1
Asticcacaulis,NA,NA,2,NA,NA,NA,NA,NA
Asticcacaulis excentricus,9,4,2,8,3,1,NA,2
Lancefieldella parvula,10,11,14,8,2,4,5,6
Aureimonas,NA,NA,NA,1,NA,NA,NA,NA
Aureimonas sp. AU20,2,5,3,4,3,2,1,1
Azoarcus,NA,2,1,1,NA,NA,1,NA
Azoarcus olearius,5,1,5,5,8,NA,3,1
Azoarcus sp. BH72,6,NA,6,5,7,NA,2,1
Azoarcus sp. CIB,5,NA,3,7,4,1,5,6
Azoarcus sp. KH32C,3,3,4,4,3,1,5,1
Azorhizobium caulinodans,13,9,4,11,4,4,NA,7
Azospira oryzae,6,8,3,13,4,1,4,6
Azospirillum,NA,NA,2,1,NA,NA,1,NA
Azospirillum brasilense,9,11,17,15,4,10,11,7
Azospirillum humicireducens,5,13,3,7,5,2,NA,1
Azospirillum lipoferum,11,23,14,19,17,4,9,11
Azospirillum thiophilum,7,7,4,10,5,2,9,5
Azotobacter chroococcum,3,8,12,9,10,2,5,4
Azotobacter vinelandii,3,6,4,12,9,6,9,4
Bacillus amyloliquefaciens,4,10,11,9,6,16,2,5
Bacillus anthracis,NA,1,1,1,6,4,2,4
Bacillus atrophaeus,1,5,1,5,2,4,3,4
Bacillus beveridgei,1,2,2,2,2,1,3,5
Bacillus bombysepticus,1,NA,1,4,1,4,1,3
Evansella cellulosilytica,2,NA,2,3,5,5,1,2
Bacillus cereus,11,5,10,9,28,24,15,20
Shouchella clausii,1,NA,NA,NA,3,1,1,2
Heyndrickxia coagulans,3,11,3,11,3,7,8,7
Bacillus cytotoxicus,2,4,3,2,12,5,4,7
Priestia endophytica,1,4,NA,3,1,5,6,4
Bacillus gibsonii,3,2,3,1,3,4,4,3
Bacillus glycinifermentans,1,NA,NA,NA,2,4,1,3
Halalkalibacterium halodurans,3,1,NA,NA,5,2,3,5
Bacillus infantis,1,2,2,2,2,5,5,2
Shouchella lehensis,NA,2,1,3,3,1,1,3
Bacillus licheniformis,2,3,3,3,2,3,3,2
Priestia megaterium,7,4,2,7,11,9,13,12
Bacillus methanolicus,NA,3,6,NA,4,4,4,3
Bacillus muralis,2,1,1,2,5,4,5,2
Bacillus mycoides,1,2,3,3,2,13,13,7
Cytobacillus oceanisediminis,2,2,NA,3,9,6,4,5
Bacillus paralicheniformis,2,3,6,4,3,7,5,2
Bacillus phage AR9,NA,NA,NA,NA,NA,NA,NA,1
Bacillus phage B4,NA,NA,NA,2,1,NA,1,NA
Bacillus phage BCP8-2,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage CP-51,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Deep Blue,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage JBP901,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage JL,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Shanette,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage SPP1,NA,NA,NA,1,NA,NA,NA,NA
Bacillus phage vB_BanS-Tsamsa,NA,1,NA,NA,NA,NA,NA,NA
Bacillus phage vB_BceM-Bc431v3,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Waukesha92,NA,NA,1,NA,NA,NA,NA,NA
Alkalihalophilus pseudofirmus,2,2,2,2,2,4,5,2
Bacillus pumilus,13,2,5,12,10,13,12,12
Peribacillus simplex,1,NA,2,2,5,4,5,3
Bacillus smithii,2,NA,1,NA,5,1,5,2
Bacillus sp.,4,3,3,2,5,4,6,3
Bacillus sp. 1NLA3E,1,1,1,2,3,7,7,3
Bacillus sp. ABP14,NA,NA,2,2,3,8,5,4
Bacillus sp. BH072,NA,1,3,2,2,3,NA,4
Bacillus sp. FJAT-14266,NA,5,1,2,1,5,1,4
Priestia megaterium,NA,1,1,NA,4,6,5,3
Bacillus sp. JS,5,2,2,NA,6,4,3,4
Bacillus sp. LM 4-2,3,2,3,1,4,4,5,5
Bacillus sp. OxB-1,2,3,NA,NA,5,5,3,2
Bacillus sp. Pc3,2,3,1,2,1,8,2,3
Bacillus sp. SDLI1,1,3,1,2,1,6,2,3
Bacillus sp. WP8,1,2,2,8,3,1,4,4
Bacillus sp. X1(2014),NA,1,1,3,7,6,8,5
Bacillus sp. YP1,3,4,5,2,5,4,7,4
Bacillus subtilis,8,18,18,14,17,27,16,20
Bacillus thuringiensis,13,7,11,18,21,29,32,20
Bacillus toyonensis,2,NA,2,4,4,5,4,4
Bacillus velezensis,5,3,4,2,8,10,4,5
Andromedavirus finn,NA,NA,NA,1,NA,1,NA,NA
Donellivirus gee,NA,NA,1,NA,NA,NA,1,NA
Andromedavirus riggi,NA,NA,NA,NA,NA,1,NA,NA
Bacillus mycoides,1,NA,1,1,3,5,3,5
Bacillus xiamenensis,NA,1,NA,3,3,7,6,5
bacterium L21-Spi-D4,13,7,2,6,11,1,2,3
Bacteroidales bacterium CF,18,9,18,9,12,NA,6,2
Bacteroides cellulosilyticus,681,749,803,887,1197,2440,3488,2024
Phocaeicola dorei,4741,6925,13066,4704,2193,2103,1657,3386
Bacteroides fragilis,592,824,1080,779,1139,2439,2757,1804
Bacteroides helcogenes,576,784,761,966,420,463,337,531
Bacteroides ovatus,317,370,309,411,1715,3954,3644,2638
Phocaeicola salanitronis,275,200,235,226,292,357,403,350
Bacteroides caecimuris,433,524,602,544,769,1466,1835,1184
Bacteroides thetaiotaomicron,663,846,989,834,1577,3479,4035,2685
Phocaeicola vulgatus,11951,17890,17068,22393,5464,5249,2290,8673
Ball python nidovirus,1,NA,NA,NA,1,NA,NA,NA
Barnesiella viscericola,262,215,315,178,355,549,524,430
Bartonella ancashensis,NA,2,2,NA,1,1,2,1
Bartonella australis,1,NA,1,NA,NA,NA,1,1
Bartonella bacilliformis,NA,1,1,4,NA,NA,4,NA
Bartonella clarridgeiae,NA,NA,NA,2,2,NA,NA,1
Bartonella grahamii,NA,NA,NA,NA,1,NA,4,NA
Bartonella henselae,NA,NA,NA,NA,1,2,1,1
Bartonella quintana,NA,NA,NA,NA,NA,NA,2,NA
Bartonella tribocorum,NA,1,NA,NA,NA,NA,2,1
Bartonella vinsonii,NA,1,1,NA,NA,NA,NA,2
Basilea psittacipulmonis,3,NA,2,1,3,2,1,3
Bathymodiolus septemdierum thioautotrophic gill symbiont,NA,NA,1,NA,5,1,1,NA
Bdellovibrio bacteriovorus,6,6,3,4,10,2,13,4
Pseudobdellovibrio exovorus,2,2,3,1,7,1,2,1
Beggiatoa leptomitiformis,4,NA,NA,NA,3,1,2,3
Beijerinckia indica,5,NA,1,1,1,1,NA,4
Belliella baltica,6,2,3,4,12,2,9,7
beta proteobacterium CB,2,2,NA,NA,2,3,2,NA
Beutenbergia,1,NA,NA,NA,2,NA,NA,NA
Beutenbergia cavernae,3,6,1,1,3,1,3,5
