species,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_50_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_50_noerr
Peribacillus simplex,1,NA,1,2,4,4,3,3
Bacillus smithii,2,NA,1,NA,4,1,3,2
Bacillus sp.,2,4,2,1,4,3,6,3
Bacillus sp. 1NLA3E,2,NA,1,2,2,5,5,3
Bacillus sp. ABP14,1,NA,2,1,2,9,5,4
Bacillus sp. BH072,NA,1,3,2,3,4,NA,2
Bacillus sp. FJAT-14266,NA,4,2,1,2,6,3,2
Priestia megaterium,NA,1,1,NA,4,5,5,4
Bacillus sp. JS,3,4,NA,NA,5,3,3,5
Bacillus sp. LM 4-2,1,3,2,NA,3,3,5,5
Bacillus sp. OxB-1,3,2,NA,NA,5,5,3,2
Bacillus sp. Pc3,3,2,1,2,1,7,2,3
Bacillus sp. SDLI1,2,3,1,1,1,5,3,3
Bacillus sp. WP8,1,1,2,7,2,1,3,3
Bacillus sp. X1(2014),NA,NA,2,2,5,6,6,5
Bacillus sp. YP1,1,4,4,1,4,3,7,4
Bacillus subtilis,6,16,16,13,16,22,16,17
Bacillus thuringiensis,14,8,9,13,20,29,36,24
Bacillus toyonensis,2,NA,1,2,6,4,5,5
Bacillus velezensis,4,3,4,3,7,10,4,3
Andromedavirus finn,NA,NA,NA,1,NA,1,NA,NA
Donellivirus gee,NA,NA,1,NA,NA,NA,NA,NA
Andromedavirus riggi,NA,NA,NA,NA,NA,1,NA,NA
Bacillus mycoides,NA,NA,1,NA,4,5,3,5
Bacillus xiamenensis,NA,1,NA,3,3,6,4,5
bacterium L21-Spi-D4,9,5,1,6,8,NA,3,2
Bacteroidales bacterium CF,10,7,12,5,11,NA,7,3
Bacteroides cellulosilyticus,604,690,767,846,1000,2011,2855,1665
Phocaeicola dorei,4666,6919,13043,4688,2113,2009,1551,3303
Bacteroides fragilis,488,697,918,705,951,2110,2402,1546
Bacteroides helcogenes,546,767,763,956,371,429,305,507
Bacteroides ovatus,266,331,301,379,1600,3701,3270,2436
Phocaeicola salanitronis,226,169,219,200,221,255,283,261
Bacteroides caecimuris,372,482,571,491,604,1089,1394,893
Bacteroides thetaiotaomicron,598,755,911,798,1421,3077,3464,2338
Phocaeicola vulgatus,11912,17873,17085,22368,5347,5038,2090,8508
Ball python nidovirus,1,NA,NA,NA,NA,NA,NA,NA
Barnesiella viscericola,200,182,269,153,251,356,347,291
Bartonella ancashensis,NA,1,1,NA,1,2,1,1
Bartonella australis,NA,NA,1,NA,NA,NA,1,NA
Bartonella bacilliformis,NA,NA,NA,1,NA,NA,2,1
Bartonella clarridgeiae,NA,NA,NA,1,2,NA,1,1
Bartonella grahamii,NA,NA,NA,NA,1,NA,4,NA
Bartonella henselae,NA,NA,NA,1,1,2,NA,1
Bartonella quintana,NA,NA,NA,NA,NA,NA,1,NA
Bartonella tribocorum,NA,NA,NA,NA,NA,NA,2,NA
Bartonella vinsonii,NA,NA,1,NA,NA,NA,NA,2
Basilea psittacipulmonis,2,NA,1,1,2,2,1,2
Bathymodiolus septemdierum thioautotrophic gill symbiont,NA,NA,1,NA,4,1,1,NA
Bdellovibrio bacteriovorus,5,8,4,3,5,2,11,3
Pseudobdellovibrio exovorus,1,2,3,1,6,1,2,1
Beggiatoa leptomitiformis,3,NA,NA,NA,2,1,2,3
Beijerinckia indica,4,NA,1,1,1,1,NA,3
Belliella baltica,4,3,3,2,9,4,10,6
beta proteobacterium CB,2,1,NA,NA,1,2,1,NA
Beutenbergia,1,NA,NA,NA,1,NA,NA,NA
Beutenbergia cavernae,2,5,2,1,3,NA,3,3
Bibersteinia,NA,NA,NA,NA,NA,NA,1,NA
Bibersteinia trehalosi,2,NA,NA,NA,NA,3,2,2
Bifidobacterium,1,NA,1,2,1,NA,NA,1
Bifidobacterium actinocoloniiforme,3,3,3,4,3,3,NA,1
Bifidobacterium adolescentis,2810,4240,6026,2541,1207,1124,612,1951
Bifidobacterium angulatum,28,25,41,18,65,156,574,214
Bifidobacterium animalis,15,20,17,11,44,111,560,150
Bifidobacterium asteroides,4,3,4,6,2,4,3,2
Bifidobacterium bifidum,7,11,21,10,162,460,621,277
Bifidobacterium breve,23,26,29,30,39,84,44,63
Bifidobacterium catenulatum,53,74,69,54,101,223,619,300
Bifidobacterium coryneforme,NA,1,2,3,NA,4,2,2
Bifidobacterium dentium,5,9,12,5,5,3,5,4
Bifidobacterium indicum,NA,NA,1,3,NA,3,1,3
Bifidobacterium catenulatum subsp. kashiwanohense,50,72,96,57,32,69,69,61
Bifidobacterium longum,51,70,72,60,836,2130,724,1334
Bifidobacterium pseudocatenulatum,32,63,62,38,179,435,683,277
Bifidobacterium pseudolongum,3,8,9,3,4,2,10,9
Bifidobacterium scardovii,7,7,10,15,7,4,10,4
Bifidobacterium thermophilum,15,18,18,17,8,14,11,10
Black grass varicosavirus-like virus,NA,NA,NA,NA,NA,NA,1,NA
Blastochloris viridis,4,3,NA,2,2,1,3,2
Blastococcus,NA,NA,1,NA,NA,NA,NA,NA
Blastococcus saxobsidens,5,7,6,3,NA,2,3,5
Blastomonas,NA,1,NA,NA,NA,NA,NA,NA
Blastomonas sp. RAC04,2,6,4,5,5,2,2,3
Blattabacterium punctulatus,2,2,NA,1,1,1,NA,NA
Blattabacterium sp. (Blaberus giganteus),1,1,NA,1,1,NA,1,2
Blattabacterium sp. (Blatta orientalis),NA,1,1,NA,NA,1,NA,1
Blattabacterium sp. (Blattella germanica),1,NA,1,2,2,1,NA,2
Blattabacterium sp. (Mastotermes darwiniensis),NA,NA,NA,NA,NA,NA,NA,2
Blattabacterium sp. (Nauphoeta cinerea),NA,NA,NA,NA,NA,2,NA,1
Blattabacterium cuenoti,NA,1,NA,NA,NA,1,1,NA
Blattabacterium sp. (Periplaneta americana),NA,NA,1,NA,NA,NA,NA,NA
Blautia sp. YL58,15,18,18,22,77,168,117,128
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,1,1,1,1,3,NA,NA,NA
Bordetella avium,1,3,3,3,NA,1,NA,2
Bordetella bronchialis,3,5,5,2,5,2,4,6
Bordetella bronchiseptica,9,13,4,5,1,6,11,9
Bordetella flabilis,7,1,6,5,3,2,3,2
Bordetella hinzii,3,11,4,5,1,2,2,8
Bordetella holmesii,2,3,2,2,1,2,3,1
Bordetella parapertussis,5,11,4,6,4,5,3,6
Bordetella pertussis,3,6,3,3,2,6,4,5
Bordetella petrii,2,3,4,3,3,6,4,2
Bordetella pseudohinzii,NA,NA,3,3,4,3,3,1
Bordetella sp. H567,3,7,3,3,2,4,4,4
Bordetella trematum,7,4,7,3,3,2,5,3
Borrelia duttonii,NA,2,NA,2,1,NA,NA,1
