species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Alcaligenes,NA,NA,NA,NA,NA,1,NA,NA
Alcaligenes faecalis,24,29,21,44,32,22,19,25
Alcanivoracaceae,2,NA,1,1,1,NA,NA,NA
Alcanivorax,1,1,2,1,NA,1,2,1
Alcanivorax borkumensis,4,4,6,5,5,11,11,6
Alloalcanivorax dieselolei,62,41,48,41,46,23,18,32
Isoalcanivorax pacificus,47,35,32,40,34,19,39,34
Alcanivorax sp. NBRC 101098,5,4,6,5,5,11,12,6
Algibacter alginolytica,39,26,19,34,30,34,32,28
Algoriphagus sp. M8-2,60,49,43,46,63,26,27,29
Alicycliphilus,4,3,1,1,3,NA,NA,2
Alicycliphilus denitrificans,85,106,114,110,91,50,95,76
Alicyclobacillaceae,NA,NA,NA,NA,NA,NA,NA,1
Alicyclobacillus acidocaldarius,38,63,62,81,35,55,39,41
Aliivibrio fischeri,25,15,16,12,26,30,24,15
Aliivibrio salmonicida,18,13,7,10,25,14,19,11
Aliivibrio wodanis,6,11,9,16,14,21,20,22
Alistipes,3,NA,NA,NA,NA,NA,NA,2
Alistipes finegoldii,5297,6984,10476,4783,7835,15096,14947,12187
Alkalilimnicola,NA,NA,NA,1,NA,NA,1,NA
Alkalilimnicola ehrlichii,53,66,45,79,57,21,27,36
Alkaliphilus metalliredigens,24,14,32,28,40,65,71,60
Alkaliphilus oremlandii,24,22,30,34,43,63,50,60
Allium virus X,2,2,NA,4,1,NA,NA,NA
Allochromatium,NA,NA,NA,1,1,1,NA,1
Allochromatium vinosum,32,70,65,72,27,28,29,41
Allofrancisella guangzhouensis,22,9,5,11,13,5,6,8
alpha proteobacterium HIMB5,3,4,1,5,1,7,5,8
alpha proteobacterium HIMB59,NA,1,NA,NA,1,9,11,2
Alphaproteobacteria,NA,1,1,NA,NA,NA,NA,NA
Altererythrobacter,13,12,5,3,4,2,NA,3
Altererythrobacter atlanticus,34,46,25,41,25,21,19,43
Altererythrobacter dongtanensis,28,30,28,30,21,20,18,16
Altererythrobacter epoxidivorans,20,27,32,21,18,12,9,18
Altererythrobacter ishigakiensis,11,14,12,11,25,17,5,9
Altererythrobacter marensis,9,23,26,28,10,12,15,22
Altererythrobacter namhicola,26,32,27,31,21,24,18,22
Alteromonadaceae,2,NA,1,1,1,NA,NA,1
Alteromonas,NA,NA,NA,NA,NA,NA,NA,1
Alteromonas stellipolaris,12,13,25,19,19,14,14,16
Alteromonas australica,7,5,5,5,6,12,19,11
Alteromonas macleodii,51,32,24,42,48,44,40,27
Alteromonas mediterranea,48,42,26,37,44,27,27,20
Alteromonas naphthalenivorans,14,8,6,13,11,6,16,5
Alteromonas sp. Mac1,23,17,26,22,24,14,14,16
Alteromonas stellipolaris,34,25,24,27,29,12,20,22
Aminobacter,NA,NA,NA,1,1,1,NA,1
Aminobacter aminovorans,63,91,88,105,41,31,36,62
Aminobacterium colombiense,20,26,22,30,12,20,14,15
Ammonifex degensii,27,50,52,64,12,25,11,26
Amphibacillus xylanus,31,29,35,36,54,53,48,43
Amycolatopsis,10,5,1,5,9,1,1,NA
Amycolatopsis japonica,32,39,41,34,21,26,36,27
Amycolatopsis mediterranei,64,73,76,68,43,35,46,47
Amycolatopsis methanolica,39,64,76,64,21,24,41,51
Amycolatopsis orientalis,44,90,93,56,31,58,59,71
Anabaena,NA,NA,NA,NA,NA,NA,NA,1
Anabaena cylindrica,7,15,11,12,7,32,11,23
Anabaena sp. 90,21,32,19,28,11,21,19,26
Anabaena sp. wa102,12,22,13,16,9,12,19,14
Acetomicrobium mobile,3,13,13,12,1,9,8,7
Anaerococcus prevotii,48,53,62,68,55,57,117,73
Anaerolinea thermophila,36,47,36,48,18,25,13,28
Anaerolineaceae bacterium oral taxon 439,16,18,20,25,12,19,34,24
Anaeromyxobacter,NA,NA,1,1,1,NA,NA,NA
Anaeromyxobacter dehalogenans,103,120,120,118,54,63,90,84
Anaeromyxobacter sp. Fw109-5,55,47,63,46,31,34,30,41
Anaeromyxobacter sp. K,43,53,74,70,18,36,56,40
Anaeromyxobacteraceae,NA,1,NA,NA,NA,NA,NA,NA
Anaplasma centrale,10,10,3,7,13,3,4,4
Anaplasma marginale,9,10,8,11,12,7,2,3
Anaplasma phagocytophilum,3,11,3,4,7,8,3,5
Anatid herpesvirus 1,NA,NA,NA,NA,NA,1,NA,NA
Aneurinibacillus sp. XH2,77,46,23,51,68,37,44,42
Anomala cuprea entomopoxvirus,NA,1,NA,NA,1,2,3,1
Anoxybacillus amylolyticus,20,16,13,17,19,36,25,30
Anoxybacillus flavithermus,1,1,3,6,12,30,22,17
Anoxybacillus gonensis,12,13,5,10,14,33,23,25
Anoxybacillus sp. B2M1,3,13,22,15,12,49,33,34
Anoxybacillus sp. B7M1,2,10,28,20,16,46,16,31
Aquifex aeolicus,10,5,1,5,19,7,5,10
Arabis mosaic virus,NA,NA,NA,NA,NA,NA,NA,1
Arachidicoccus sp. BS20,45,41,23,53,58,44,51,45
Arcanobacterium,NA,NA,NA,1,1,NA,NA,NA
Arcanobacterium haemolyticum,17,20,11,25,20,15,18,14
Archaeoglobus fulgidus,9,3,NA,1,8,5,2,NA
Archaeoglobus profundus,4,2,6,2,1,6,3,8
Archaeoglobus sulfaticallidus,10,2,NA,3,8,9,2,5
Archaeoglobus veneficus,6,11,6,8,5,4,4,12
Archangium,NA,2,NA,NA,NA,NA,NA,NA
Archangium gephyra,90,117,112,98,56,52,48,68
Aliarcobacter butzleri,2,4,13,7,25,29,24,27
Arcobacter nitrofigilis,17,6,5,7,15,20,23,16
Arcobacter sp. L,3,6,7,9,10,26,13,18
Armadillidium vulgare iridescent virus,13,13,3,8,13,NA,3,1
Aromatoleum aromaticum,39,29,19,27,29,18,25,23
Arsenicicoccus sp. oral taxon 190,20,31,36,28,12,13,25,26
Arsenophonus symbiont of Lipoptena fortisetosa,NA,NA,NA,NA,3,8,2,6
Arthrobacter,1,1,1,1,3,NA,2,NA
Arthrobacter alpinus,60,61,67,76,51,28,24,47
Arthrobacter phage vB_ArS-ArV2,1,1,3,NA,1,NA,NA,1
Arthrobacter sp. A3,44,41,31,64,59,28,16,29
Arthrobacter sp. ATCC 21022,27,41,38,39,11,18,19,22
Arthrobacter sp. ERGS1:01,44,60,81,69,23,34,27,49
Arthrobacter sp. FB24,48,62,57,60,22,16,22,33
Arthrobacter sp. IHBB 11108,36,25,24,39,25,13,15,16
Arthrobacter sp. LS16,60,53,37,80,37,26,24,31
Arthrobacter sp. PAMC 25486,41,46,40,39,48,21,19,27
Arthrobacter sp. Rue61a,31,39,50,52,18,7,13,20
Arthrobacter sp. U41,37,60,43,73,38,29,18,33
Arthrobacter sp. YC-RL1,51,85,64,81,32,27,25,37
Arthrobacter sp. ZXY-2,44,55,34,43,44,26,19,22
Asaia bogorensis,38,43,27,39,27,12,8,29
Aster yellows witches'-broom phytoplasma,NA,NA,NA,NA,2,6,5,7
Asticcacaulis,NA,1,2,NA,NA,NA,NA,NA
Asticcacaulis excentricus,51,60,43,65,35,25,15,30
Lancefieldella parvula,73,106,128,74,41,45,41,56
Aurantimonadaceae,NA,1,NA,NA,NA,NA,NA,1
Aureimonas,2,1,1,1,1,NA,NA,NA
Aureimonas sp. AU20,44,47,51,44,31,18,15,31
Aureococcus anophagefferens virus,NA,NA,NA,NA,1,NA,NA,1
Azoarcus,6,4,3,6,5,1,1,2
Azoarcus olearius,31,42,39,54,27,30,32,29
Azoarcus sp. BH72,33,44,50,59,34,23,31,29
Azoarcus sp. CIB,37,40,55,44,25,15,32,40
Azoarcus sp. KH32C,31,49,48,40,39,16,37,31
Azorhizobium,1,NA,NA,NA,NA,NA,NA,NA
Azorhizobium caulinodans,78,67,83,76,55,33,44,63
Azospira,NA,NA,1,1,NA,1,NA,1
Azospira oryzae,59,63,68,86,32,34,41,54
Azospirillum,2,5,3,6,NA,NA,NA,3
Azospirillum brasilense,120,152,122,179,62,76,81,105
Azospirillum humicireducens,68,62,43,66,65,20,19,26
Azospirillum lipoferum,130,178,168,180,111,70,97,106
Azospirillum thiophilum,61,71,67,104,37,45,50,57
Azotobacter,NA,NA,NA,NA,NA,NA,1,NA
Azotobacter chroococcum,70,79,71,80,44,43,31,47
Azotobacter vinelandii,59,84,53,93,49,46,31,44
Bacillus <firmicutes>,1,NA,NA,3,NA,1,1,NA
Bacillus amyloliquefaciens,59,96,70,99,88,119,74,97
Bacillus anthracis,15,15,9,20,29,42,41,39
Bacillus atrophaeus,31,37,33,47,30,43,48,37
Bacillus beveridgei,18,25,16,35,32,35,27,32
Bacillus bombysepticus,18,6,9,14,24,45,41,39
Evansella cellulosilytica,23,9,14,24,29,37,38,26
Bacillus cereus,99,81,84,118,192,268,236,212
Shouchella clausii,3,2,4,1,7,15,25,13
Heyndrickxia coagulans,56,64,62,89,51,75,59,71
Bacillus cytotoxicus,25,15,28,43,43,45,43,56
Priestia endophytica,6,27,16,19,17,49,46,24
Bacillus gibsonii,23,32,24,19,23,49,44,38
Bacillus glycinifermentans,8,5,7,7,16,34,21,26
Halalkalibacterium halodurans,18,15,10,7,27,25,22,29
Bacillus infantis,22,29,20,25,32,67,51,37
Shouchella lehensis,5,8,7,5,17,36,29,21
Bacillus licheniformis,18,17,25,9,24,39,31,33
Priestia megaterium,40,42,30,36,62,87,111,76
Bacillus methanolicus,21,29,22,31,34,47,47,34
Bacillus muralis,12,18,4,18,16,34,27,38
Bacillus mycoides,24,27,17,45,51,115,95,78
Cytobacillus oceanisediminis,31,27,21,23,57,61,47,58
Bacillus paralicheniformis,21,29,33,22,30,41,30,38
Bacillus phage 0305phi8-36,1,1,NA,NA,NA,NA,1,NA
Bacillus phage AR9,NA,NA,NA,NA,NA,1,1,1
Bacillus phage B4,2,NA,NA,1,2,NA,1,NA
Bacillus phage BCJA1c,NA,NA,NA,NA,NA,NA,NA,1
Bacillus phage Bcp1,NA,NA,NA,1,NA,NA,NA,NA
Bacillus phage BCP8-2,1,3,1,4,1,2,NA,1
Bacillus phage Belinda,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage CP-51,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Deep Blue,1,2,1,4,NA,2,NA,1
Bacillus phage DIGNKC,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage DirtyBetty,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Eldridge,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Evoli,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Eyuki,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Fah,NA,NA,NA,NA,NA,NA,1,1
Bacillus phage Gamma,NA,NA,NA,NA,NA,NA,1,1
Bacillus phage Hakuna,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage JBP901,1,3,1,4,1,2,NA,1
Bacillus phage JL,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Kida,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Megatron,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Nemo,NA,NA,NA,NA,1,1,NA,NA
Bacillus phage Nigalana,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage NotTheCreek,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage phi105,NA,NA,NA,NA,NA,1,1,NA
Bacillus phage phiAGATE,NA,NA,NA,NA,NA,1,NA,1
Bacillus phage phIS3501,NA,NA,1,NA,NA,NA,NA,NA
Bacillus phage SageFayge,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Shanette,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage SP-15,NA,NA,NA,NA,NA,2,NA,NA
Bacillus phage Spock,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage SPP1,3,1,1,2,1,1,NA,NA
Bacillus phage TsarBomba,NA,NA,NA,NA,1,NA,NA,NA
Bacillus phage vB_BanS-Tsamsa,NA,3,NA,NA,NA,1,NA,1
