TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
1852362,Bacteroides ihuae,47,5.36349182946196e-06,47,5.36372107304697e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ihuae,Phocaeicola,47,Phocaeicola dorei,47,1,0,0,1,1,FALSE
1121129,Butyricimonas synergistica,44,5.02114128715587e-06,44,5.02114128831764e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas synergistica,Phocaeicola,44,Phocaeicola dorei,44,1,0,0,1,1,FALSE
1125702,Treponema vincentii,36,4.10820650767299e-06,36,4.1028930235513e-06,0,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema vincentii,Faecalibacterium,24,Faecalibacterium prausnitzii,29,4,0.972222222222222,1,1,0.833333333333333,TRUE
1903263,Traorella massiliensis,34,3.87997281280227e-06,28.2,3.21975981168117e-06,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Traorella,Traorella massiliensis,Faecalibacterium,33,Lachnospiraceae bacterium GAM79,34,1,0,0,1,1,FALSE
290054,Eubacterium coprostanoligenes,23,2.6246874910133e-06,23,2.6249057913015e-06,0,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium coprostanoligenes,Faecalibacterium,23,Faecalibacterium prausnitzii,23,1,0,0,1,1,FALSE
1871021,Lachnoclostridium phocaeense,22,2.51057064357794e-06,26.8,3.05725344285224e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,Faecalibacterium,19,Faecalibacterium prausnitzii,19,13,1,1,1,1,TRUE
0,unknown genome; accession ID isNZ_GG662007.1,21,2.39645379614258e-06,20.8,2.37664562125522e-06,0,0,0,0,0,0,0,Coprococcus,19,Coprococcus comes,19,4,1,1,1,1,TRUE
796943,Oribacterium parvum,20,2.28233694870722e-06,20,2.28393556582906e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium parvum,Faecalibacterium,19,Faecalibacterium prausnitzii,19,2,0,0,1,1,FALSE
1035196,Peptostreptococcus anaerobius,19,2.16822010127186e-06,19.1,2.17932041492492e-06,0,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus anaerobius,Faecalibacterium,19,uncultured human fecal virus,19,1,0,0,1,1,FALSE
449673,Bacteroides stercoris,19,2.16822010127186e-06,19.1,2.17493774765653e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,Phocaeicola,12,Phocaeicola dorei,12,5,0.631578947368421,1,1,1,TRUE
1796620,Acutalibacter muris,18,2.05410325383649e-06,21.5,2.45438397050905e-06,0,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Faecalibacterium,15,Faecalibacterium prausnitzii,15,2,1,1,1,1,TRUE
947969,Cellulomonas carbonis,17,1.93998640640113e-06,17,1.94002047550844e-06,0,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas carbonis,Bacteroides,17,Bacteroides fragilis,13,2,0,0,1,1,FALSE
1349822,Coprobacter fastidiosus,13,1.48351901665969e-06,13,1.48351959660166e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter fastidiosus,Phocaeicola,13,Phocaeicola dorei,13,1,0,0,1,1,FALSE
679935,Alistipes finegoldii,12,1.36940216922433e-06,12,1.36940291372684e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Bacteroides,12,Bacteroides fragilis,12,2,0.5,0.5,1,1,FALSE
44008,Enterococcus cecorum,11,1.25528532178897e-06,11.6,1.31829069306568e-06,0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus cecorum,Enterococcus,10,Enterococcus cecorum,10,3,1,1,1,1,TRUE
1203606,Butyricicoccus pullicaecorum,11,1.25528532178897e-06,13.4,1.53033709831596e-06,0,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus pullicaecorum,Lachnoclostridium,9,[Clostridium] symbiosum,9,10,0,0,1,1,FALSE
1841865,Mediterranea massiliensis,11,1.25528532178897e-06,11.5,1.30794372657633e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Mediterranea,Mediterranea massiliensis,Bacteroides,6,Bacteroides fragilis,6,2,0,0,1,1,FALSE
0,unknown genome; accession ID isNZ_KB907513.1,7,7.98817932047526e-07,7.5,8.53428395294971e-07,0,0,0,0,0,0,0,Faecalibacterium,7,Faecalibacterium prausnitzii,7,1,1,0,1,0,TRUE
411471,Subdoligranulum variabile,7,7.98817932047526e-07,7.2,8.170417255156e-07,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Subdoligranulum,Subdoligranulum variabile,0,0,0,0,0,0,0,0,0,FALSE
767031,Prevotella denticola,6,6.84701084612165e-07,9.8,1.11789138421093e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,0,0,0,0,0,0,0,0,0,FALSE
0,unknown genome; accession ID isNC_021019.1,5,5.70584237176804e-07,7.4,8.49590618759089e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
663278,Ethanoligenens harbinense,5,5.70584237176804e-07,5,5.72488366444385e-07,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,Ethanoligenens harbinense,0,0,0,0,0,0,0,0,0,FALSE
1033732,Alistipes senegalensis,5,5.70584237176804e-07,11.7,1.33475768618078e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,0,0,0,0,0,0,0,0,0,FALSE
1720313,Bittarella massiliensis (ex Durand et al. 2017),5,5.70584237176804e-07,13.4,1.53117274177975e-06,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Bittarella (ex Durand et al. 2017),Bittarella massiliensis (ex Durand et al. 2017),0,0,0,0,0,0,0,0,0,FALSE
873513,Segatella buccae,4,4.56467389741443e-07,5.4,6.15212086297966e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella buccae,0,0,0,0,0,0,0,0,0,FALSE
411463,Eubacterium ventriosum,4,4.56467389741443e-07,5.1,5.82188441964284e-07,0,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum,0,0,0,0,0,0,0,0,0,FALSE
1050201,Allobaculum stercoricanis,4,4.56467389741443e-07,17.9,2.04513175917805e-06,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Allobaculum stercoricanis,0,0,0,0,0,0,0,0,0,FALSE
301302,Roseburia faecis,4,4.56467389741443e-07,4.6,5.24600694949077e-07,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia faecis,0,0,0,0,0,0,0,0,0,FALSE
1410653,Clostridium lundense,4,4.56467389741443e-07,5.7,6.52441340983948e-07,0,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium lundense,0,0,0,0,0,0,0,0,0,FALSE
1745713,Bariatricus massiliensis,4,4.56467389741443e-07,4.1,4.69293950060741e-07,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Bariatricus,Bariatricus massiliensis,0,0,0,0,0,0,0,0,0,FALSE
869209,Treponema succinifaciens,3,3.42350542306082e-07,3,3.42352456369625e-07,0,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema succinifaciens,0,0,0,0,0,0,0,0,0,FALSE
742740,[Clostridium] symbiosum,3,3.42350542306082e-07,12.9,1.46709610092971e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,[Clostridium] symbiosum,0,0,0,0,0,0,0,0,0,FALSE
518635,Bifidobacterium angulatum,3,3.42350542306082e-07,2.8,3.21440044496222e-07,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,0,0,0,0,0,0,0,0,0,FALSE
0,unknown genome; accession ID isNZ_KB907524.1,3,3.42350542306082e-07,3.6,4.12268650982541e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,unknown genome; accession ID isNZ_EQ973341.1,3,3.42350542306082e-07,3.2,3.70235454256946e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
667015,Phocaeicola salanitronis,3,3.42350542306082e-07,3.4,3.91763813331236e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola salanitronis,0,0,0,0,0,0,0,0,0,FALSE
1236498,Phocaeicola paurosaccharolyticus,3,3.42350542306082e-07,3,3.42354393213206e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola paurosaccharolyticus,0,0,0,0,0,0,0,0,0,FALSE
2897707,Merdimmobilis hominis,3,3.42350542306082e-07,3,3.42960640355018e-07,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Merdimmobilis,Merdimmobilis hominis,0,0,0,0,0,0,0,0,0,FALSE
411469,Anaerobutyricum hallii,2,2.28233694870722e-07,32,3.64714899264452e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,0,0,0,0,0,0,0,0,0,FALSE
290052,Acetivibrio ethanolgignens,2,2.28233694870722e-07,2.1,2.37474851742908e-07,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,0,0,0,0,0,0,0,0,0,FALSE
484018,Phocaeicola plebeius,2,2.28233694870722e-07,2.1,2.36682040477572e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,0,0,0,0,0,0,0,0,0,FALSE
742733,Enterocloster citroniae,2,2.28233694870722e-07,2.3,2.5965344295991e-07,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster citroniae,0,0,0,0,0,0,0,0,0,FALSE
699246,Mageeibacillus indolicus,2,2.28233694870722e-07,2,2.28233694920286e-07,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Mageeibacillus,Mageeibacillus indolicus,0,0,0,0,0,0,0,0,0,FALSE
1122985,Hoylesella loescheii,1,1.14116847435361e-07,1.4,1.57767043663479e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella loescheii,0,0,0,0,0,0,0,0,0,FALSE
411468,[Clostridium] scindens,1,1.14116847435361e-07,1,1.14290849041571e-07,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,0,0,0,0,0,0,0,0,0,FALSE
752555,Segatella baroniae,1,1.14116847435361e-07,0.6,6.80370655563605e-08,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,0,0,0,0,0,0,0,0,0,FALSE
626523,Shuttleworthella satelles,1,1.14116847435361e-07,1,1.19025664332544e-07,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthella,Shuttleworthella satelles,0,0,0,0,0,0,0,0,0,FALSE
585502,Hallella bergensis,1,1.14116847435361e-07,1,1.14121709960053e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hallella,Hallella bergensis,0,0,0,0,0,0,0,0,0,FALSE
518636,Enterocloster asparagiformis,1,1.14116847435361e-07,1,1.18843196627008e-07,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster asparagiformis,0,0,0,0,0,0,0,0,0,FALSE
762982,Paraprevotella xylaniphila,1,1.14116847435361e-07,1,1.14339521263251e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,0,0,0,0,0,0,0,0,0,FALSE
1236517,Prevotella fusca,1,1.14116847435361e-07,1,1.14116950359031e-07,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella fusca,0,0,0,0,0,0,0,0,0,FALSE
1437610,Bifidobacterium reuteri,1,1.14116847435361e-07,0.9,1.01311027490499e-07,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium reuteri,0,0,0,0,0,0,0,0,0,FALSE
0,unknown genome; accession ID isNZ_JTDA01000001.1,1,1.14116847435361e-07,1,1.1421167415055e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1841868,Provencibacterium massiliense,1,1.14116847435361e-07,1.1,1.23776078260785e-07,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Provencibacterium,Provencibacterium massiliense,0,0,0,0,0,0,0,0,0,FALSE
