species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Mediterranea massiliensis,2,1,1,0,54,57,69,43
Mediterraneibacter gnavus,0,0,0,0,1225,3267,6144,5298
Megasphaera elsdenii,1,0,0,2,325,816,5475,1045
Megasphaera micronuciformis,0,0,0,0,1,0,0,0
Merdibacter massiliensis,3,10,10,3,26,5,4,162
Merdimmobilis hominis,1,2,2,4,0,2,0,2
Merdimonas faecis,1,3,3,3,7,28,60,88
Metapseudomonas otitidis,0,0,0,0,0,0,0,2
Methyloglobulus morosus,0,0,0,0,0,0,1,0
Microbacterium mangrovi,0,0,0,0,0,0,7,3
Mitsuokella multacida,0,0,0,0,0,1,0,0
Moellerella wisconsensis,0,0,0,0,0,2,0,0
Moraxella porci,0,0,0,0,0,2,4,0
Morganella morganii,0,0,0,0,0,1,0,0
Murdochiella massiliensis,0,0,0,0,0,0,0,1
Muribaculum intestinale,0,0,0,0,3,16,7,12
Musicola paradisiaca,0,0,0,0,1,1,0,0
Mycetohabitans rhizoxinica,0,0,0,0,0,0,1,0
Mycobacterium europaeum,0,0,0,0,0,0,0,1
Myroides injenensis,0,0,0,0,0,0,0,1
Ndongobacter massiliensis,0,0,0,0,0,0,3,2
Necropsobacter massiliensis,0,0,0,0,0,1,0,0
Negativibacillus massiliensis,2,0,0,1,10,9,8,65
Neglectibacter timonensis,1,1,0,1,1,9,11,0
Neofamilia massiliensis,0,0,0,0,0,1,1,3
Nissabacter archeti,0,0,0,0,0,3,1,0
Nitrolancea hollandica,0,0,0,0,0,1,1,2
Novibacillus thermophilus,0,0,0,0,2,0,0,0
Novosphingobium malaysiense,0,0,0,0,0,0,1,0
Obesumbacterium proteus,0,0,0,0,1,5,1,7
Oceanivirga salmonicida,0,0,0,0,3,3,11,3
Oceanospirillum linum,0,0,0,0,3,0,0,3
Odoribacter laneus,0,0,0,0,20,21,90,9
Odoribacter splanchnicus,2,4,4,0,3180,8545,12432,5200
Olegusella massiliensis,0,0,0,0,1,2,8,0
Orenia metallireducens,0,0,0,0,0,0,0,1
Oribacterium parvum,2,5,2,1,1,3,0,0
Oslovirus ov191,0,0,0,0,0,2,0,1
