Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Candidatus Thioglobus,g_Candidatus Thioglobus,g_Candidatus Thioglobus,847,0,1,0,0,0,1,2,0,2,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,o_Alteromonadales,o_Alteromonadales,o_Alteromonadales,o_Alteromonadales,1465,0,1,0,3,14,5,13,3,6,3
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,o_Chromatiales,o_Chromatiales,o_Chromatiales,o_Chromatiales,1472,0,0,0,4,3,1,1,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,o_Enterobacterales,o_Enterobacterales,o_Enterobacterales,o_Enterobacterales,1478,6,7,3,24,750,266,451,242,233,66
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,o_Oceanospirillales,o_Oceanospirillales,o_Oceanospirillales,o_Oceanospirillales,1487,0,0,0,0,0,0,1,1,0,11
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,o_Pseudomonadales,o_Pseudomonadales,o_Pseudomonadales,o_Pseudomonadales,1490,0,0,0,0,1,1,1,2,2,0
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,o_Thiotrichales,o_Thiotrichales,o_Thiotrichales,o_Thiotrichales,1500,0,0,0,1,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,o_Xanthomonadales,o_Xanthomonadales,o_Xanthomonadales,o_Xanthomonadales,1503,0,0,0,0,0,4,11,10,11,8
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Bathymodiolus septemdierum thioautotrophic gill symbiont,Bathymodiolus septemdierum thioautotrophic gill symbiont,195,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,Candidatus Baumannia cicadellinicola,Candidatus Baumannia cicadellinicola,301,0,0,0,0,2,0,6,1,0,0
