species,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Nostoc sp. CENA543,1,0,0,0,0,1,0,0
Nostoc sp. NIES-4103,2,1,3,1,0,2,3,1
Nostoc sp. PCC 7524,0,0,1,0,0,0,0,0
Nostoc sphaeroides,0,1,0,0,0,0,0,0
Microchaete diplosiphon,1,1,0,0,0,0,1,3
Rivularia sp. PCC 7116,1,0,1,0,0,1,0,0
Tolypothrix sp. PCC 7910,0,0,3,0,0,0,1,0
Geitlerinema sp. PCC 7407,0,0,0,0,0,0,1,0
Crinalium epipsammum,0,0,0,1,0,0,0,0
Microcoleus sp. PCC 7113,1,0,0,0,0,0,0,0
Planktothrix agardhii,0,1,0,0,0,0,0,0
Trichodesmium erythraeum,0,0,1,1,0,0,0,0
Moorena producens,0,0,2,2,0,0,3,1
Oxynema acuminatum,0,1,1,1,0,0,1,4
Stanieria cyanosphaera,1,0,1,1,0,0,2,1
Stanieria sp. NIES-3757,1,0,0,0,0,0,0,0
Pleurocapsa minor,0,0,1,0,0,0,0,1
Acaryochloris marina,0,0,0,0,2,0,0,1
Chamaesiphon minutus,1,0,0,0,0,0,0,0
Leptolyngbya boryana,1,1,0,0,0,0,0,0
Leptolyngbya sp. PCC 7376,0,5,31,6,7,17,32,18
Thermoleptolyngbya sp. PKUAC-SCTA183,1,0,1,0,0,0,1,0
Prochlorococcus marinus,3,1,2,0,0,0,0,0
Prochlorococcus sp. MIT 0604,1,0,0,0,0,0,0,0
Prochlorococcus sp. MIT 0801,0,1,0,0,0,0,0,0
Pseudanabaena sp. ABRG5-3,1,1,1,1,0,0,0,0
Pseudanabaena sp. PCC 7367,1,0,0,0,0,0,0,0
Cyanobium sp. NIES-981,0,1,0,0,0,0,0,0
Dactylococcopsis salina,1,1,0,0,0,0,0,0
