species,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_50,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_50
g_Brevibacterium,0,4,0,3,0,1,1,1
g_Cellulomonas,2,0,0,0,0,0,0,0
g_Brachybacterium,0,0,0,0,5,2,0,2
g_Dermabacter,2,0,0,1,0,0,0,0
g_Janibacter,3,0,0,0,0,0,0,0
g_Agromyces,1,0,0,0,0,0,0,0
g_Cryobacterium,0,0,0,0,0,0,1,0
g_Curtobacterium,0,2,0,1,3,3,2,0
g_Leifsonia,0,2,3,5,9,6,2,6
g_Microbacterium,3,10,13,3,12,7,14,9
g_Plantibacter,1,1,2,1,0,0,0,0
g_Rathayibacter,3,3,28,6,5,11,38,14
g_Arthrobacter,1,0,0,0,1,0,1,0
g_Glutamicibacter,1,0,0,0,0,0,0,0
g_Kocuria,1,6,36,2,8,17,21,23
g_Micrococcus,1,1,0,1,3,0,0,1
g_Pseudarthrobacter,1,1,2,3,5,0,4,2
Tropheryma whipplei,1,1,1,1,0,0,0,0
g_Actinoplanes,1,3,2,0,7,5,0,1
g_Micromonospora,5,2,0,3,3,1,1,1
g_Plantactinospora,0,0,2,2,4,4,0,2
g_Aeromicrobium,0,0,0,0,1,0,0,1
g_Kribbella,0,0,0,1,0,0,0,0
g_Nocardioides,0,3,1,0,0,0,0,0
g_Cutibacterium,0,0,1,0,0,0,0,0
g_Tessaracoccus,0,0,0,1,0,0,0,0
g_Actinoalloteichus,1,0,2,0,6,1,3,0
g_Actinosynnema,4,1,0,4,3,5,0,2
g_Pseudonocardia,6,2,0,7,4,3,0,2
g_Saccharopolyspora,1,0,0,1,0,0,0,0
g_Streptacidiphilus,0,0,1,0,0,0,0,0
g_Streptomyces,49,24,26,37,38,26,15,16
g_Olsenella,0,0,0,1,0,0,0,0
Coriobacteriaceae bacterium 68-1-3,37,6,2,8,2,1,1,1
g_Adlercreutzia,308,93,32,131,0,0,1,0
g_Eggerthella,13,3,0,5,0,0,0,0
g_Gordonibacter,109,19,9,29,9,5,5,7
Eggerthellaceae bacterium zg-1050,31,2,2,7,6,4,4,2
g_Rubrobacter,1,0,0,0,0,0,0,0
g_Hydrogenobaculum,1,1,0,0,0,0,0,0
Thermosulfidibacter takaii,0,1,1,0,0,0,0,0
g_Bacteroides,11480,16007,12574,18554,27606,27202,19209,34569
g_Dysgonomonas,42,28,49,28,7,21,48,22
g_Duncaniella,77,78,286,63,90,144,311,119
g_Muribaculum,0,3,5,2,1,2,3,2
Muribaculaceae bacterium DSM 108610,136,156,741,179,269,446,817,445
g_Porphyromonas,5,5,11,6,6,12,14,8
g_Prevotella,1192,1007,7251,1650,1498,3645,7340,3489
g_Alistipes,1021,713,629,1066,2234,1348,1025,888
g_Parabacteroides,2371,3694,1615,2361,94,125,168,133
g_Tannerella,7,8,3,2,0,0,0,1
Candidatus Azobacteroides pseudotrichonymphae,22,19,9,17,0,4,3,1
Phocaeicola dorei,17065,21137,22230,35363,146569,73438,49097,45000
Phocaeicola salanitronis,1083,1108,1035,979,284,451,691,391
Phocaeicola vulgatus,15563,40428,43001,69292,133101,146831,97880,188798
g_Draconibacterium,2,1,1,2,4,0,0,2
Prolixibacteraceae bacterium WC007,26,23,15,16,4,13,14,15
