species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
g_Pseudarthrobacter,2,1,2,2,5,0,2,1
Luteimicrobium xylanilyticum,1,0,1,0,0,0,0,0
Tropheryma whipplei,1,2,1,2,0,0,0,0
g_Actinoplanes,3,4,3,1,8,7,0,3
g_Micromonospora,3,4,1,5,5,1,2,1
g_Plantactinospora,0,0,1,2,3,4,0,2
g_Aeromicrobium,0,0,0,0,0,0,0,1
g_Kribbella,0,0,0,1,0,0,0,0
g_Nocardioides,0,2,1,1,0,0,0,0
g_Cutibacterium,0,0,1,0,0,0,0,0
g_Tessaracoccus,0,0,0,1,0,0,0,0
g_Actinoalloteichus,1,1,3,2,7,4,5,1
g_Actinosynnema,4,3,0,4,3,6,0,1
g_Amycolatopsis,0,2,0,1,0,0,0,0
g_Pseudonocardia,7,3,1,8,9,7,0,2
g_Saccharopolyspora,1,0,0,1,0,0,0,0
g_Streptacidiphilus,0,0,3,0,0,1,2,0
g_Streptomyces,76,53,59,61,63,50,57,51
