"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"44",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis",768,0.0103105239840509,794.4,0.0106666040731776,"43","301302","1"
"45",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] lactaris",745,0.0100017452709869,751.6,0.0100919125663803,"44","471875","1"
"46",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella","Leyella stercorea",713,0.00957214010498476,720.4,0.00967230572879372,"45","1002367","1"
"47",NA,NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens",709,0.0095184394592345,707.9,0.00950492207963158,"46","411903","1"
"48",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eshraghiella","Eshraghiella crossota",698,0.00937076268342127,712.4,0.00956551031841789,"47","511680","1"
"49",NA,NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila",697,0.0093573375219837,697,0.00935846827251,"48","349741","1"
"50",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",686,0.00920966074617047,683.8,0.00918144642980144,"49","333849","1"
"51",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bivia",681,0.00914253493898264,757.9,0.0101767601749862,"50","868129","1"
"52",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis",680,0.00912910977754508,842.1,0.0113065158708192,"51","1122981","1"
"53",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques",668,0.00896800784029428,670.5,0.00900261271600961,"52","411460","1"
