"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_100_100_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_50_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_1_noerr","Healthy_stool_10_50_noerr"
"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Marinilabiliaceae","Alkalitalea","Alkalitalea saponilacus","Alkalitalea saponilacus",68,15,15,23,13,0,0,16,13
"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Salinivirgaceae","Salinivirga","Salinivirga cyanobacteriivorans","Salinivirga cyanobacteriivorans",1111,12,10,47,15,15,18,40,22
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. M31R6","Flavobacterium sp. M31R6",539,13,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium anhuiense","Flavobacterium anhuiense",519,26,16,35,0,12,13,40,20
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium johnsoniae","Flavobacterium johnsoniae",526,21,0,76,21,15,33,61,31
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium commune","Flavobacterium commune",522,17,0,18,12,0,0,13,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium crocinum","Flavobacterium crocinum",523,15,0,11,12,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium kingsejongi","Flavobacterium kingsejongi",527,14,13,12,20,12,12,14,22
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium columnare","Flavobacterium columnare",521,13,0,23,0,0,10,20,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium pallidum","Flavobacterium pallidum",531,11,0,22,0,0,12,21,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium faecale","Flavobacterium faecale",524,11,0,17,0,0,0,14,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sp. oral taxon 878","Capnocytophaga sp. oral taxon 878",254,47,31,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga canimorsus","Capnocytophaga canimorsus",248,45,21,57,47,0,49,52,26
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sputigena","Capnocytophaga sputigena",255,26,35,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga haemolytica","Capnocytophaga haemolytica",252,15,11,51,12,18,39,54,27
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga stomatis","Capnocytophaga stomatis",256,16,18,24,25,0,19,30,13
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter sp. L3A8","Polaribacter sp. L3A8",984,20,0,13,0,0,14,18,14
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","Winogradskyella sp. PG-2","Winogradskyella sp. PG-2",1311,17,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella echinicola","Christiangramia echinicola",578,11,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella fulva","Gramella fulva",580,11,0,10,0,0,10,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella sp. MAR_2010_147","Gramella sp. MAR_2010_147",582,12,12,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa","Formosa agariphila","Formosa agariphila",545,14,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides","Myroides phaeus","Myroides phaeus",812,18,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides","Myroides odoratus","Myroides odoratus",811,13,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Kordia","Kordia sp. SMS9","Kordia sp. SMS9",652,13,19,77,13,21,42,96,43
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zunongwangia","Zunongwangia profunda","Zunongwangia profunda",1323,54,57,52,0,0,39,73,42
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Sediminicola","Sediminicola sp. YIK13","Sediminicola sp. YIK13",1115,14,12,16,0,0,0,15,10
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Mariniflexile","Mariniflexile sp. TRM1-10","Mariniflexile sp. TRM1-10",718,13,0,17,0,0,0,13,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Psychroflexus","Psychroflexus torquis","Psychroflexus torquis",1064,10,0,25,0,10,12,33,15
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia","Wenyingzhuangia fucanilytica","Wenyingzhuangia fucanilytica",1310,12,0,34,0,0,11,23,12
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Oceanihabitans","Oceanihabitans sp. IOP_32","Oceanihabitans sp. IOP_32",842,19,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. NBC 122","Chryseobacterium sp. NBC 122",297,24,0,23,0,0,0,16,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium indologenes","Chryseobacterium indologenes",286,24,0,29,14,0,0,23,20
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium gallinarum","Chryseobacterium gallinarum",283,19,13,18,13,0,0,10,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium taklimakanense","Chryseobacterium taklimakanense",302,22,12,33,14,0,17,27,10
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium shandongense","Chryseobacterium shandongense",291,25,17,25,20,19,18,21,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium carnis","Chryseobacterium carnis",282,15,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium gleum","Chryseobacterium gleum",284,23,26,42,0,0,14,25,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium indoltheticum","Chryseobacterium indoltheticum",287,13,16,50,26,14,46,48,30
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Elizabethkingia","Elizabethkingia sp. JS20170427COW","Elizabethkingia sp. JS20170427COW",449,14,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Elizabethkingia","Elizabethkingia anophelis","Elizabethkingia anophelis",446,30,28,51,16,0,20,40,20
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Empedobacter","Empedobacter brevis","Empedobacter brevis",450,19,0,13,15,0,0,13,15
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Empedobacter","Empedobacter falsenii","Empedobacter falsenii",451,26,0,50,0,19,21,37,17
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Ornithobacterium","Ornithobacterium rhinotracheale","Ornithobacterium rhinotracheale",860,24,31,41,31,18,28,55,22
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola taffensis","Fluviicola taffensis",544,15,0,25,0,0,0,19,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter sp. TS19","Hymenobacter sp. TS19",630,24,0,41,0,0,22,52,16
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter jejuensis","Hymenobacter jejuensis",618,17,25,28,0,21,21,37,22
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter swuensis","Hymenobacter swuensis",631,18,0,0,0,0,0,0,0
