species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Stomatobaculum longum,6,6.7,8,15.1,2.8,0,1,1
Streptobacillus notomytis,0,0,0,0,2,0,1,0
Streptococcus cristatus,0,0,0,0,0,0,0,1
Streptococcus parasanguinis,0,0,0,0,42,109.7,612,155.4
Streptococcus plurextorum,0,1,0,0,0,0,0,0
Streptococcus pneumoniae,0,0,0,0,0,0,0.2,0
Streptococcus salivarius,0,0,0,0,83.8,229.6,391.4,334.43661971831
Streptococcus suis,0,0,0,0,1.6,0,0,0
Streptococcus thermophilus,0,0,0,0,97,239.2,478.8,347.1
Subdoligranulum variabile,0,0,1.2,2.95,1.5,18.6,22.7,48.3
Succiniclasticum ruminis,0,0,0,0,0,0,0.6,0
Succinispira mobilis,0,0,0,0,0,0,0.9,0
Tannerella forsythia,0,0,0,0,0,3.2,20.5,0
Tepidimonas fonticaldi,0,0,0,0,0,0,2,0
Thauera humireducens,0,0,0,0,0,0.2,0,0
Thiolinea disciformis,0,0,0,0,0,1.6,0,0
Thomasclavelia saccharogumia,0,0,0,0,3.1,5.9,1,0
Thomasclavelia spiroformis,0,0,0,0,0,0,1,0
Trabulsiella odontotermitis,0,0,0,0,14.6,0,6.2,0
Traorella massiliensis,0,4.2,0,0,0,2.5,2,6
Traversvirus II,0,0,0,0,8.5,5.3,25.5,0
Traversvirus PA28,0,0,0,0,18,6.6,4.2,2.3
Traversvirus tv933W,0,0,0,0,0,22.2,0,0
Treponema porcinum,0,0,0,0,2.1,0,0,0
Treponema vincentii,1,0,0,1,0,0,0,0
Urinicoccus massiliensis,0,0,0,0,0,1.2,5.5,2.1
Veillonella parvula,0,0,0,0,30,78,603.1,113
Wanchaivirus HK106,0,0,0,0,3.2,0,0,0
Wickerhamomyces ciferrii,0,0,0,0,0,0,3.4,0
Winslowiella toletana,0,0,0,0,0,0.7,0,0
Wongtaivirus HK542,0,0,0,0,1,0,0,0
Xenophilus azovorans,0,0,0,0,0,0,1,0
Xenorhabdus cabanillasii,0,0,0,0,1,5,7.5,2
Xenorhabdus hominickii,0,0,0,0,0,0.6,0,0
Xuanwuvirus P88,0,0,0,0,1,5,0,3.6
Yautsimvirus HK140,0,0,0,0,0,1,0,0
Yersinia pestis,0,0,0,0,2,4,11,13
Yokenella regensburgei,0,0,0,0,0,0,18.6,3
