"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Thermoproteota","Thermoprotei","Thermofilales","Thermofilaceae","Thermofilum","Thermofilum pendens","Thermofilum pendens",4452,21,26,29,42,10,15,9,15
NA,"Thermoproteota","Thermoprotei","Thermofilales","Thermofilaceae","Infirmifilum","Infirmifilum uzonense","Thermofilum sp. 1807-2",4453,7,2,1,2,11,9,13,7
NA,"Thermoproteota","Thermoprotei","Thermofilales","Thermofilaceae","Thermofilum","Thermofilum adornatum","Thermofilum adornatum",4454,56,74,84,78,25,39,23,46
NA,"Thermoproteota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Thermogladius","Thermogladius calderae","Thermogladius calderae",4455,22,33,25,25,12,21,25,14
NA,"Thermomicrobiota","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae","Thermomicrobium","Thermomicrobium roseum","Thermomicrobium roseum",4456,129,139,129,179,81,86,59,99
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Thermomonosporaceae","Thermomonospora","g_Thermomonospora","Thermomonospora",4457,NA,1,3,4,1,1,NA,2
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Thermomonosporaceae","Thermomonospora","Thermomonospora curvata","Thermomonospora curvata",4458,519,727,754,895,282,315,318,469
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Thermomonosporaceae","f_Thermomonosporaceae","f_Thermomonosporaceae","Thermomonosporaceae",4459,3,1,1,NA,2,NA,1,1
NA,"Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","g_Thermoplasma","Thermoplasma",4460,NA,NA,NA,NA,NA,1,NA,NA
NA,"Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","Thermoplasma acidophilum","Thermoplasma acidophilum",4461,7,7,18,6,16,16,19,16
NA,"Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","Thermoplasma volcanium","Thermoplasma volcanium",4462,NA,NA,NA,NA,6,11,17,12
NA,"Thermoplasmatota","Thermoplasmata","Thermoplasmatales","o_Thermoplasmatales","o_Thermoplasmatales","Thermoplasmatales archaeon BRNA1","Thermoplasmatales archaeon BRNA1",4463,138,150,107,162,126,80,70,100
NA,"Thermoproteota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","Thermoproteus tenax","Thermoproteus tenax",4464,8,10,12,23,3,8,12,17
NA,"Thermoproteota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","Thermoproteus uzoniensis","Thermoproteus uzoniensis",4465,14,32,34,41,15,26,30,25
NA,"Bacillota","Clostridia","Thermosediminibacterales","Thermosediminibacteraceae","Thermosediminibacter","Thermosediminibacter oceani","Thermosediminibacter oceani",4466,59,99,137,98,88,161,202,165
NA,"Thermotogota","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","Thermosipho africanus","Thermosipho africanus",4467,171,94,67,95,201,166,211,159
NA,"Thermotogota","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","Thermosipho melanesiensis","Thermosipho melanesiensis",4468,9,9,22,12,56,176,152,112
NA,"Thermoproteota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Thermosphaera","Thermosphaera aggregans","Thermosphaera aggregans",4469,4,6,19,8,6,6,17,8
NA,"Thermosulfidibacterota","Thermosulfidibacteria","Thermosulfidibacterales","Thermosulfidibacteraceae","Thermosulfidibacter","g_Thermosulfidibacter","Thermosulfidibacter",4470,NA,NA,NA,NA,NA,1,NA,1
NA,"Thermosulfidibacterota","Thermosulfidibacteria","Thermosulfidibacterales","Thermosulfidibacteraceae","Thermosulfidibacter","Thermosulfidibacter takaii","Thermosulfidibacter takaii",4471,12,22,29,26,40,90,91,58
NA,"Cyanobacteriota","Cyanophyceae","Acaryochloridales","Thermosynechococcaceae","Thermosynechococcus","Thermosynechococcus vestitus","Thermosynechococcus vestitus",4472,88,51,50,65,84,74,60,64
NA,"Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga caldifontis","Thermotoga caldifontis",4473,87,103,82,98,77,71,71,82
NA,"Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga maritima","Thermotoga maritima",4474,25,31,29,31,62,103,92,88
NA,"Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga petrophila","Thermotoga petrophila",4475,111,130,116,144,122,113,92,130
NA,"Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga neapolitana","Thermotoga neapolitana",4476,179,114,62,92,177,123,86,106
NA,"Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga petrophila","Thermotoga petrophila",4477,136,129,90,105,143,133,96,125
NA,"Thermotogota","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga profunda","Thermotoga profunda",4478,14,21,35,21,46,87,90,70
