"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Mycoplasmatota","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma laidlawii","Acholeplasma laidlawii",32,10,5,5,9,21,14,27,17
NA,"Mycoplasmatota","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma oculi","Acholeplasma oculi",33,6,4,4,7,23,23,27,17
NA,"Mycoplasmatota","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma palmae","Acholeplasma palmae",34,9,10,8,20,11,32,33,31
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","g_Achromobacter","Achromobacter",35,1,1,1,4,NA,1,4,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter denitrificans","Achromobacter denitrificans",36,44,53,57,55,26,39,44,56
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter xylosoxidans","Achromobacter xylosoxidans",37,168,200,206,190,111,114,157,153
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","f_Acidaminococcaceae","f_Acidaminococcaceae","Acidaminococcaceae",38,NA,NA,NA,NA,NA,NA,NA,1
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","g_Acidaminococcus","Acidaminococcus",39,NA,NA,NA,NA,NA,NA,NA,1
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans",40,81,116,82,104,57,132,163,128
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",41,35,43,44,52,536,1346,6521,1917
NA,"Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Deltalipothrixvirus","Deltalipothrixvirus pozzuoliense","Deltalipothrixvirus pozzuoliense",42,NA,1,1,NA,NA,NA,NA,NA
NA,"Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","Betalipothrixvirus puteoliense","Acidianus filamentous virus 8",43,NA,NA,NA,NA,NA,1,NA,1
NA,"Thermoproteota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","Acidianus hospitalis","Acidianus hospitalis",44,5,8,3,4,8,NA,3,3
NA,"Unknown","Unknown","Unknown","Fuselloviridae","Betafusellovirus","Betafusellovirus yellowstonense","Acidianus spindle-shaped virus 1",45,NA,NA,NA,NA,NA,1,1,NA
NA,"Unknown","Unknown","Unknown","Bicaudaviridae","f_Bicaudaviridae","Acidianus tailed spindle virus","Acidianus tailed spindle virus",46,NA,NA,NA,NA,NA,NA,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidihalobacter","Acidihalobacter prosperus","Acidihalobacter prosperus",47,32,31,18,18,18,19,18,15
NA,"Thermoproteota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","Acidilobus saccharovorans","Acidilobus saccharovorans",48,5,7,7,3,3,3,2,3
NA,"Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobium","Acidimicrobium ferrooxidans","Acidimicrobium ferrooxidans",49,5,7,6,4,5,4,6,8
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acidocellaceae","Acidiphilium","g_Acidiphilium","Acidiphilium",50,NA,NA,NA,NA,NA,NA,NA,2
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acidocellaceae","Acidiphilium","Acidiphilium cryptum","Acidiphilium cryptum",51,16,19,22,13,13,15,18,11
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acidocellaceae","Acidiphilium","Acidiphilium multivorum","Acidiphilium multivorum",52,18,23,21,15,12,15,16,11
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","g_Acidipropionibacterium","Acidipropionibacterium",53,NA,1,NA,NA,NA,NA,NA,NA
