species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Streptococcus sp. HSISS2,30,0,0,23,0,0,0,0
Streptococcus sp. HSISS1,153,0,0,0,0,0,0,0
Streptococcus agalactiae,237,163,72,125,0,0,0,0
Streptococcus suis,56,52,14,52,24,0,0,0
Streptococcus pyogenes,63,0,0,20,0,0,0,0
Streptococcus pseudoporcinus,30,0,0,0,0,0,0,0
Streptococcus dysgalactiae,22,0,0,0,0,0,0,0
Streptococcus equi,10,0,0,0,0,0,0,0
Streptococcus lutetiensis,46,49,0,44,0,0,0,0
Streptococcus canis,17,0,0,0,0,0,0,0
Streptococcus sanguinis,16,0,0,0,0,0,0,0
Streptococcus equinus,17,34,18,14,0,0,0,0
Streptococcus vestibularis,13,0,0,0,0,0,0,0
Streptococcus pluranimalium,11,0,0,0,0,0,0,0
Streptococcus oralis,11,0,0,0,0,0,0,0
Lactococcus lactis,99,65,21,68,0,0,0,0
Enterococcus faecium,8784,1443,652,1958,69,68,0,49
Enterococcus saigonensis,28,19,18,15,0,0,0,0
Enterococcus cecorum,19,15,0,16,0,0,0,0
Enterococcus faecalis,18,0,0,11,0,0,0,0
Enterococcus avium,15,15,30,18,0,23,96,16
Enterococcus mundtii,13,0,0,0,0,0,0,0
Ligilactobacillus ruminis,5907,1439,576,1969,0,14,44,18
Lactiplantibacillus plantarum,40,0,0,49,0,0,0,0
Ligilactobacillus murinus,11,0,0,0,0,0,0,0
Limosilactobacillus reuteri,15,31,54,43,0,0,0,53
Paucilactobacillus hokkaidonensis,10,0,0,0,0,0,0,0
Lactobacillus johnsonii,16,0,0,0,0,0,0,0
Carnobacterium maltaromaticum,12,0,0,0,0,0,0,0
Bacillus sp. S3,17,13,0,0,0,0,0,0
Bacillus sp. NSP9.1,17,10,0,0,0,0,0,0
Bacillus sp. FJAT-18017,15,17,0,0,0,0,0,0
Bacillus sp. X1(2014),15,0,0,0,0,0,0,0
Bacillus sp. Y1,11,0,0,0,0,0,0,0
Bacillus sp. SB49,10,11,0,11,0,0,0,0
Bacillus cereus,234,130,0,184,0,0,0,0
Bacillus thuringiensis,76,98,0,0,0,0,0,0
Bacillus cytotoxicus,10,0,0,0,0,0,0,0
Priestia megaterium,31,0,0,46,0,0,0,0
Bacillus filamentosus,13,0,0,0,0,0,0,0
Bacillus marisflavi,14,0,0,0,0,0,0,0
Niallia circulans,11,17,15,14,32,0,0,0
Bacillus thermoamylovorans,17,0,0,0,0,0,0,0
Peribacillus simplex,14,0,0,13,0,0,0,0
Halalkalibacter krulwichiae,12,0,0,0,0,0,0,0
Cytobacillus oceanisediminis,16,21,0,18,0,0,0,0
Neobacillus mesonae,18,13,0,0,0,0,0,0
Pradoshia sp. D12,12,15,0,0,0,0,0,0
Paenibacillus sp. 14171R-81,22,0,0,0,0,0,0,0
Paenibacillus sp. FSL H7-0357,20,0,0,0,20,0,0,0
Paenibacillus guangzhouensis,20,17,0,17,0,0,0,12
Paenibacillus polymyxa,88,107,111,87,0,39,67,38
Paenibacillus riograndensis,14,0,55,16,38,20,29,35
Paenibacillus larvae,12,12,0,12,0,0,0,0
Brevibacillus brevis,15,21,35,19,17,0,17,11
Brevibacillus laterosporus,26,30,0,0,0,0,0,0
Aneurinibacillus sp. XH2,13,0,0,0,0,0,0,0
Staphylococcus epidermidis,23,0,0,0,0,0,0,0
Staphylococcus aureus,72,0,0,0,0,0,0,0
Staphylococcus simiae,13,0,0,0,0,0,0,0
Sporosarcina ureae,22,27,0,0,0,0,0,0
Solibacillus silvestris,21,0,0,0,0,0,0,0
Listeria monocytogenes,24,54,0,0,0,0,0,0
Brochothrix thermosphacta,12,0,0,0,0,0,0,0
Tumebacillus avium,14,0,0,0,21,0,0,0
Alicyclobacillus acidocaldarius,13,10,0,0,0,0,0,0
Salisediminibacterium selenitireducens,17,20,0,30,0,0,0,0
Phascolarctobacterium faecium,7103,1954,756,2698,22,14,0,13
Acidaminococcus intestini,6449,1299,487,1859,0,0,0,0
Acidaminococcus fermentans,22,16,0,13,0,0,0,0
Megasphaera elsdenii,7207,1019,413,1350,0,0,23,15
Megasphaera stantonii,22,25,18,18,14,15,16,21
Veillonella parvula,6047,791,302,1143,0,0,0,0
Veillonella rodentium,14,0,0,14,0,0,0,0
Veillonella atypica,10,0,0,0,0,0,0,0
Dialister pneumosintes,163,65,0,74,0,0,0,0
Selenomonas ruminantium,33,21,42,30,21,16,28,0
Selenomonas sputigena,12,0,0,0,0,0,0,0
Megamonas hypermegale,24,17,0,0,0,0,0,0
Megamonas funiformis,21,18,0,0,0,0,0,0
Sporomusa termitida,19,11,0,0,0,0,0,0
Finegoldia magna,5127,1089,424,1538,0,0,0,0
Peptoniphilus harei,29,14,0,20,0,0,0,12
Peptoniphilus sp. ING2-D1G,14,25,34,16,13,20,34,14
Anaerococcus mediterraneensis,18,0,0,0,0,0,0,0
Anaerococcus prevotii,14,14,0,11,0,0,0,0
Tissierellia sp. JN-28,10,0,0,15,10,0,0,10
Gudongella oleilytica,10,0,0,0,0,0,0,0
Ezakiella massiliensis,50,21,0,15,0,0,0,0
Faecalitalea cylindroides,671,844,300,543,13,10,15,10
[Clostridium] innocuum,460,632,223,445,0,16,0,0
Thomasclavelia ramosa,72,41,40,34,0,15,30,0
Longibaculum sp. KGMB06250,286,392,155,266,59,65,53,84
Intestinibaculum porci,177,141,40,124,0,0,0,0
Amedibacterium intestinale,170,162,69,123,0,0,0,0
Erysipelotrichaceae bacterium GAM147,108,88,39,65,0,0,0,0
Erysipelothrix sp. HDW6A,12,0,0,0,0,0,0,0
Erysipelothrix piscisicarius,18,0,0,0,0,0,0,0
